School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
School A,Female,13,Urban,1,Together,Primary,Secondary,Business,Healthcare,Reputation,Mother,14,5,0,No,Yes,Yes,No,No,Yes,No,Yes,Bad,5,4,Low,Low,Very Bad,1,16,14,16,Yes
School C,Female,14,Suburban,4,Apart,Higher,None,Service,Education,Course,Mother,7,4,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Very Bad,3,1,Very High,None,Good,3,15,16,15,No
School C,Female,18,Rural,5,Apart,None,Primary,Business,Unemployed,Course,Father,,1,0,No,No,Yes,Yes,No,No,No,Yes,Bad,2,5,Very High,Medium,Excellent,0,17,13,8,Yes
School B,Other,18,Suburban,7,Apart,Secondary,Secondary,Business,Technology,Home,Other,41,4,1,No,No,Yes,No,Yes,Yes,No,Yes,Good,5,,Low,None,Good,6,,16,16,No
School A,Other,16,Suburban,8,Apart,Higher,None,Unemployed,Education,Other,Father,39,7,2,Yes,No,Yes,No,Yes,No,No,No,Very Bad,4,4,None,Low,Bad,2,16,13,15,No
School D,Male,16,Rural,4,Together,Higher,Primary,Service,Business,Reputation,Other,6,6,0,No,Yes,No,No,Yes,No,Yes,No,Good,4,2,Medium,Low,Good,4,16,18,14,No
School D,Other,18,Suburban,7,Together,Higher,Secondary,Unemployed,Business,Other,Mother,23,4,0,Yes,Yes,No,No,No,Yes,Yes,No,Neutral,4,4,Medium,Medium,Neutral,1,10,16,13,No
School B,Other,16,Suburban,2,Apart,None,Secondary,Education,Technology,Other,Mother,21,5,0,Yes,No,No,Yes,Yes,No,No,No,Very Bad,1,3,None,High,Good,2,11,18,13,Yes
School B,Female,14,Suburban,4,Together,None,Primary,Service,Unemployed,Other,Father,15,3,0,Yes,No,No,No,No,No,Yes,No,Excellent,4,4,High,None,Very Bad,4,7,13,13,No
School C,Female,,Urban,8,Apart,Primary,Primary,Technology,Service,Other,Mother,18,,0,Yes,Yes,Yes,No,No,No,Yes,No,Good,5,4,None,Very High,Bad,1,13,12,12,Yes
School A,Female,17,Urban,6,Together,Higher,Primary,Healthcare,Healthcare,Other,Mother,9,,0,No,Yes,No,Yes,No,No,Yes,No,Excellent,3,5,None,None,Good,0,18,7,13,No
School D,Female,15,Urban,1,Apart,None,Higher,Education,Business,Course,Other,6,7,0,No,Yes,No,Yes,No,No,Yes,Yes,Very Bad,1,5,High,Medium,Bad,3,16,14,18,No
School A,Other,15,Rural,1,Apart,Secondary,Primary,Education,Education,Home,Other,4,3,0,Yes,Yes,No,No,No,No,No,No,Good,2,2,None,Very High,Neutral,1,13,12,7,No
School A,Female,13,Rural,6,Apart,Primary,Higher,Technology,Business,Course,Other,12,6,1,No,No,No,Yes,No,Yes,Yes,Yes,Neutral,2,2,Very High,High,Very Bad,0,12,7,12,No
School D,Male,14,Rural,3,Together,Higher,None,Service,Education,Other,Other,3,0,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Good,3,2,High,None,Very Bad,0,11,14,,No
School D,Male,15,Suburban,5,Apart,Higher,Primary,Service,Education,Course,Mother,0,4,0,Yes,No,No,Yes,No,No,Yes,Yes,Very Bad,3,,Very High,Very High,Bad,1,12,13,13,No
School D,Female,15,Rural,6,Together,Higher,Secondary,Technology,Business,Home,Other,55,2,1,No,Yes,Yes,No,No,No,Yes,Yes,Neutral,2,2,High,None,Good,4,13,17,8,No
School D,Other,15,Rural,4,Apart,None,Higher,Technology,Service,Other,Other,2,5,0,No,Yes,No,Yes,No,No,No,Yes,Neutral,2,3,Low,Low,Good,1,,18,12,No
School A,Female,14,Rural,6,Apart,Higher,Primary,Education,Service,Other,Other,17,0,0,Yes,No,Yes,No,Yes,Yes,No,No,Good,3,5,None,High,Good,1,,10,19,No
